"","id.sample_local_c","oc_usda.c729_w.pct","c.tot_usda.a622_w.pct","n.tot_usda.a623_w.pct","s.tot_usda.a624_w.pct","ph.h2o_usda.a268_index","bd_usda.a4_g.cm3","clay.tot_usda.a334_w.pct","silt.tot_usda.c62_w.pct","sand.tot_usda.c60_w.pct","caco3_usda.a54_w.pct","efferv_usda.a479_class","cec_usda.a723_cmolc.kg","ca.ext_usda.a722_cmolc.kg","mg.ext_usda.a724_cmolc.kg","k.ext_usda.a725_cmolc.kg","na.ext_usda.a726_cmolc.kg","wr.33kPa_usda.a415_w.pct","wr.1500kPa_usda.a417_w.pct","al.dith_usda.a65_w.pct","p.ext_usda.a652_mg.kg","p.ext_usda.a1070_mg.kg","k.ext_usda.a1065_mg.kg","ec_usda.a364_ds.m"
"1391","147331",2.19,2.19113,0.2019,0.02152,5.61,1.40657,33.68992,55.9,10.4,NA,"none",25.81442,14.88291,4.51067,1.25932,0.09159,NA,14.3454,0.10729,NA,23.63303,331.20064,NA
"1392","147340",0.38,0.37543,0.0677,0.00821,6.64,NA,30.29244,53.7,16,NA,"none",18.29588,12.51278,5.36929,0.37352,0.28014,NA,12.66568,0.09281,NA,13.09888,196.31911,NA
"1393","147345",0.3244,0.40284,0.06992,0.00835,7.91,NA,43.61504,33.8,22.6,0.6301,"very slight",30.24916,25.00885,9.27941,0.28773,1.87027,NA,20.43682,0.12331,NA,6.25634,150.07905,NA
"1394","147375",1.6504,1.6857,0.18502,0.0257,7,1.44146,38.70827,48.7,12.6,0.32967,"very slight",23.37495,21.45679,3.49736,0.70892,0,NA,17.82609,0.05423,NA,12.25404,373.65594,NA
"1395","147446",1.62,1.62232,0.13724,0,5.67,1.45573,28.96184,58.9,12.1,NA,"none",19.73677,12.33891,4.19801,0.39429,0.18555,NA,12.56477,0.09284,NA,17.03236,234.15157,NA
"1396","147458",1.14,1.14296,0.13264,0.00518,5.8,1.55163,41.32369,53.5,5.2,NA,"none",27.44607,17.36654,6.22531,0.80401,0.1608,NA,18.63303,0.12168,NA,15.38953,426.36171,NA
"1397","147479",1.61,1.60642,0.1401,0.0083,6.28,1.43782,39.54097,55.3,5.2,NA,"none",28.86832,19.41749,7.12053,0.77295,0.14054,NA,19.69937,0.05845,NA,16.01505,415.10717,NA
"1398","147487",1,0.99835,0.0988,0.01352,6.24,1.44602,39.749,38.4,21.9,NA,"none",28.21316,17.62293,7.86695,0.54997,0.14347,NA,19.24473,0.08844,NA,11.7036,329.68621,NA
"1399","147493",1.67,1.66654,0.16385,0.01348,6.34,1.59841,40.01279,35.4,24.6,NA,"none",28.92287,18.8172,7.3256,0.63192,0.14043,NA,18.00766,0.10502,NA,10.08721,293.78655,NA
"1400","147706",2.5,2.50385,0.13594,0.00316,5.22,1.02242,34.69554,32.7,32.6,NA,"very slight",36.09043,4.79469,1.3873,0.04868,0.07302,33.39441,25.46729,NA,NA,NA,NA,NA
"1401","148823",0.8112,0.84257,0.09954,0.01005,5.78,NA,1.56448,26.1,72.3,0.2375,"slight",3.48289,1.9941,0.41737,0.20869,0,NA,3.54226,0.0886,37.75488,NA,NA,NA
"1402","149101",0.18,0.18457,0.03545,0,6.58,1.6553,31.65074,30.3,38,NA,"very slight",19.50315,14.50761,2.19924,0.09594,1.8955,NA,14.77273,0.06418,NA,NA,NA,0.169
"1403","149110",0.1,0.10283,0.01748,0,5.28,1.65424,21.81139,4.2,74,NA,"very slight",8.20862,3.58914,1.73236,0.07605,0.01819,NA,7.88224,0.11433,NA,NA,NA,0.048
