"","id.sample_local_c","oc_usda.c729_w.pct","c.tot_usda.a622_w.pct","n.tot_usda.a623_w.pct","s.tot_usda.a624_w.pct","ph.h2o_usda.a268_index","bd_usda.a4_g.cm3","clay.tot_usda.a334_w.pct","silt.tot_usda.c62_w.pct","sand.tot_usda.c60_w.pct","caco3_usda.a54_w.pct","efferv_usda.a479_class","cec_usda.a723_cmolc.kg","ca.ext_usda.a722_cmolc.kg","mg.ext_usda.a724_cmolc.kg","k.ext_usda.a725_cmolc.kg","na.ext_usda.a726_cmolc.kg","wr.33kPa_usda.a415_w.pct","wr.1500kPa_usda.a417_w.pct","al.dith_usda.a65_w.pct","p.ext_usda.a652_mg.kg","p.ext_usda.a1070_mg.kg","k.ext_usda.a1065_mg.kg","ec_usda.a364_ds.m"
"1","26949",3.2,NA,0.31,NA,5.36,NA,32.4,25.6,42,NA,NA,14.1,10.5,2,0.5,0,NA,14.7,0.4,NA,NA,NA,NA
"2","26950",1.7,NA,0.19,NA,4.32,NA,46.5,25.2,28.3,NA,NA,10.2,3.6,1,0.2,0,NA,14.7,0.4,NA,NA,NA,NA
"3","26951",0.6,NA,0.09,NA,4.42,NA,44.2,32.8,23,NA,NA,7.5,1.7,0.5,0.1,0,NA,17,0.5,NA,NA,NA,NA
"4","26952",0.2,NA,0.06,NA,4.49,NA,40.9,36,23.1,NA,NA,6.6,0.7,0.3,0.1,0,NA,17,0.5,NA,NA,NA,NA
"5","26953",0.2,NA,0.06,NA,4.43,NA,37.9,45,17.1,NA,NA,6.1,0.6,0.2,0.1,0.1,26.3,20.7,0.5,NA,NA,NA,NA
"6","26954",2.1,NA,0.23,NA,6.12,NA,27.3,25.8,46.9,NA,NA,12.3,11.1,1.6,0.8,0,26.3,20.7,0.5,NA,NA,NA,NA
"7","26955",1.1,NA,0.13,NA,4.43,NA,44.9,17.2,37.9,NA,NA,9.9,2.1,0.4,0.3,0,32.2,20.2,0.5,NA,NA,NA,NA
"8","26956",0.8,NA,0.1,NA,4.43,NA,45.9,16.2,37.9,NA,NA,8.6,1.7,0.4,0.2,0.1,32.2,20.2,0.5,NA,NA,NA,NA
"9","26957",0.5,NA,0.05,NA,4.6,NA,27.2,17.6,55.2,NA,NA,6.3,1,0.1,0.1,0,25.4,17.2,0.4,NA,NA,NA,NA
"10","26958",0.4,NA,0.06,NA,4.6,NA,26.5,18,55.5,NA,NA,5.9,0.7,0.1,0.1,0,25.4,17.2,0.4,NA,NA,NA,NA
"11","26959",4.5,NA,0.25,NA,5.53,NA,36.9,47.5,15.6,NA,NA,25.2,7.5,5.6,1,4.3,23.5,11.7,0.4,NA,NA,NA,NA
"12","26960",0.9,NA,0.09,NA,6.09,NA,47.6,43.8,8.6,NA,NA,18.9,3.5,2.8,1.2,7.8,23.5,11.7,0.4,NA,NA,NA,NA
"13","26961",0.3,NA,0.06,NA,6.06,NA,49.5,45.8,4.7,NA,NA,37.5,3.5,3,1.4,10.8,31.7,16.1,0.7,NA,NA,NA,NA
"14","26962",0.2,NA,0.03,NA,5.12,NA,50.3,43.3,6.4,NA,NA,19.2,3.4,5.4,1.1,15.7,31.7,16.1,0.7,NA,NA,NA,NA
"15","26963",0.1,NA,0.04,NA,4.83,NA,50.3,44.8,4.9,NA,NA,18.5,2.8,5.7,1,13.8,30.3,16.6,0.8,NA,NA,NA,NA
"16","26965",1,NA,0.13,NA,4.68,NA,38,29,33,NA,NA,8.1,2,1,0.2,0.1,30.3,16.6,0.8,NA,NA,NA,NA
"17","26966",0.5,NA,0.08,NA,4.65,NA,53.3,32.8,13.9,NA,NA,10,0.8,0.8,0,0,NA,14.2,0.8,NA,NA,NA,NA
"18","26967",1.9,NA,0.19,NA,6.29,NA,11.7,32,56.3,NA,NA,13.3,8.4,3.4,0.1,0.2,NA,14.2,0.8,NA,NA,NA,NA
"19","26968",0.1,NA,0.03,NA,6.26,NA,14.1,31.4,54.5,NA,NA,8,3.2,3.5,0.1,0.3,40.3,13.7,0.7,NA,NA,NA,NA
"20","26969",0.1,NA,0.03,NA,6.3,NA,26,31,43,NA,NA,13.7,4.5,7.8,0.2,0.4,40.3,13.7,0.7,NA,NA,NA,NA
"21","26970",1.3,NA,0.1,NA,6.56,NA,44.2,13.2,42.6,NA,NA,40.6,28.5,10.6,0.1,0.4,27,15.9,NA,NA,NA,NA,NA
"22","26971",0.8,NA,0.07,NA,6.84,NA,46,13.6,40.4,NA,NA,42.1,29.1,10.3,0.1,1.3,27,15.9,NA,NA,NA,NA,NA
"23","26972",0.6,NA,0.06,NA,7.54,NA,51.3,13.4,35.3,NA,NA,45.6,34.1,13.2,0.1,2.1,29.4,19,NA,NA,NA,NA,NA
"24","26973",0.8,NA,0.1,NA,4.62,NA,58.5,27.3,14.2,NA,NA,11.6,2.4,1.4,0.2,0.3,29.4,19,NA,NA,NA,NA,NA
"25","30747",0.52,0.51502,0.02649,0.08266,4.81,NA,49.93611,27.2,22.9,NA,"none",40.87446,6.65037,3.28512,0.88137,0.05342,NA,31.42857,0.62611,NA,NA,NA,NA
"26","36001",0.15,0.15451,0.02046,0,6.37,1.67131,36.05959,45.3,18.6,NA,"none",11.81383,8.93247,3.64782,0.30398,0.18707,NA,11.38298,0.06523,0.96831,NA,NA,NA
"27","36035",1.56,1.56158,0.14823,0.00939,6.65,1.36829,43.8167,53.6,2.6,NA,"none",28.52211,23.22221,3.33789,1.43053,0.21458,NA,25.25597,0.20859,NA,NA,NA,NA
"28","36224",0.8956,0.90996,0.09325,0.01742,7.78,1.17019,21.4639,67.8,10.7,0.11663,"very slight",18.0223,19.65534,1.27418,0.80226,0.14158,NA,11.45475,0.1209,NA,NA,NA,NA
"29","36261",0.38,0.37688,0.04956,0.00723,7.11,1.32571,35.94715,62,2.1,NA,"none",21.80032,17.07017,4.81047,0.44368,0.35028,NA,16.4042,0.18139,NA,NA,NA,NA
"30","36275",0.18,0.17545,0.03677,0.00525,7.05,1.22003,54.0945,42.4,3.5,NA,"none",32.77393,23.09156,7.13476,0.96416,2.16935,NA,24.26901,0.20206,NA,NA,NA,NA
"31","37567",1.03,1.03152,0.1219,0,5.56,NA,37.11869,31.8,31.1,NA,"none",14.33629,5.65994,2.24039,0.09433,0.02358,NA,14.43662,0.3954,NA,NA,NA,NA
"32","37585",0.67,0.66717,0.07923,0,6.79,1.31079,42.00381,52.5,5.5,NA,"none",33.661,22.7347,8.60106,0.55791,0.69738,NA,20.12121,0.16236,NA,NA,NA,NA
"33","37607",0.52,0.52224,0.03251,0.0061,5.38,NA,32.98084,48.6,18.4,NA,"none",8.38439,0.84238,0.37439,0.39779,0,NA,15.56982,0.61402,NA,NA,NA,NA
"34","37667",0.09,0.09216,0.01603,0.001,5.23,NA,0.20209,1.5,98.3,NA,"none",0.43917,0,0,0.23356,0.95759,NA,0.30364,0.0954,NA,NA,NA,NA
"35","38888",0.9536,1.01479,0.14667,0.01618,7.64,1.20007,57.7869,41,1.2,0.46829,"none",39.67343,39.1792,3.50037,1.45016,0.20002,NA,27.84679,NA,NA,NA,NA,0.257
"36","38932",1.4004,1.43949,0.13096,0.01637,7.48,1.50405,21.35714,60.2,18.4,0.33169,"none",15.39662,18.25579,1.47107,0.91641,0.09646,NA,9.29451,NA,NA,NA,NA,0.479
"37","40708",0.0868,1.56519,0.04749,0.00516,8.13,1.4432,23.9697,36.8,39.2,12.35913,"slight",14.14154,40.92232,8.59186,0.80957,0.41784,NA,14.15505,NA,NA,NA,NA,0.167
"38","40725",1.0368,2.60876,0.10611,0.02036,7.9,NA,65.21667,30.7,4.1,13.10807,"strong",37.55827,58.79219,19.5974,1.04189,1.0915,NA,25.28856,0.0966,NA,NA,NA,0.405
"39","40747",2.31,2.31041,0.20245,0.04273,6.38,NA,11.50652,29.9,58.6,NA,"none",10.59915,5.84455,1.79107,1.0605,0.68344,NA,7.16846,NA,NA,NA,NA,0.153
"40","40774",1.23,1.28832,0.14861,0.06698,8.43,1.2879,40.27155,39.6,20.1,0.50162,"none",27.44365,16.68623,16.56189,0.89524,9.22592,NA,17.69134,NA,NA,NA,NA,2.81
"41","41098",0.04,0.04212,0.02307,0.00802,5.77,NA,1.20673,4.3,94.5,NA,"none",1.62929,0.90521,0.23821,0,0.23821,NA,6.77749,0.05736,NA,NA,NA,NA
"42","41101",1.11,1.11245,0.06574,0.0091,4.44,NA,2.32224,9.8,87.9,NA,"none",1.17359,0.58288,0.06995,0.04663,0.13989,NA,3.88151,0.23109,NA,NA,NA,NA
"43","41316",0.51,0.50721,0.03446,0.00861,5.76,NA,21.12494,37.3,41.6,NA,"none",47.40001,34.27469,6.12579,1.06643,0.84323,NA,21.0177,0.20443,NA,NA,NA,NA
"44","41325",4.86,4.86215,0.16077,0.03067,5.49,NA,6.99343,35.1,57.9,NA,"none",34.72942,4.42172,1.44892,0.47465,0.24981,NA,16.72026,1.0397,NA,NA,NA,NA
"45","41340",1.94,1.93861,0.10336,0.00949,5.73,NA,3.17395,27.5,69.3,NA,"none",19.07083,1.20905,0.29609,0.14805,0.17272,NA,14.73988,0.70017,NA,NA,NA,NA
"46","41381",0.38,0.37974,0.02532,0.01013,5.87,NA,1.6359,5.6,92.8,NA,"none",2.41365,0.14749,0.17207,0,0,NA,3.58491,0.37872,NA,NA,NA,NA
"47","42247",1.35,1.3504,0.18718,0.02777,5.54,NA,21.27932,35.7,43,NA,"none",16.01958,11.71845,2.77158,0.48624,0.29175,NA,10.52061,NA,NA,NA,NA,0.307
"48","42270",0.4772,0.85835,0.06796,0.01777,8.16,1.32342,38.39174,36.4,25.2,3.194,"strong",24.62323,46.15337,7.20538,0.77896,7.93565,NA,17.93587,NA,NA,NA,NA,1.46
"49","46565",2.83,2.8341,0.2008,0.01769,5.95,NA,24.21267,51.6,24.2,NA,"none",31.94336,16.59388,3.23605,0.99758,0.04866,NA,17.85714,0.71858,NA,NA,NA,NA
"50","47447",0.6108,0.65631,0.05222,0,8.04,1.30201,27.58116,62.1,10.3,0.40988,"none",20.06712,20.48824,5.40401,0.58739,1.24527,NA,13.03797,0.05041,NA,NA,NA,0.31
"51","47455",0.1256,2.14876,0.01215,0,9.52,1.47575,23.79495,38.4,37.8,16.87497,"strong",10.79967,37.58297,10.61627,0.3224,7.71464,NA,12.46944,0.00756,NA,NA,NA,1.018
"52","47961",1.65,1.64724,0.06289,0,7.04,NA,13.50357,20.1,66.4,NA,"none",13.01869,1.08203,12.45542,0.14427,0.14427,NA,15.73529,0.03946,NA,NA,NA,NA
"53","48653",0.1856,1.52235,0.02532,0.02026,7.8,NA,22.01885,36.9,41.1,11.11554,"very slight",13.35477,42.78906,7.66906,0.66895,0.07167,NA,9.88593,NA,NA,NA,NA,0.21
"54","48654",0.178,1.35911,0.0375,0.01318,7.85,NA,23.539,38.5,38,9.85298,"very slight",13.91938,39.76449,7.65711,0.73947,0.16698,NA,10.99021,NA,NA,NA,NA,0.242
"55","48857",3.4,NA,0.31,NA,4.99,NA,39.2,26.7,34.1,NA,NA,24.1,7.3,1.6,0.3,0,19.2,NA,0.9,NA,NA,NA,NA
"56","48859",1,NA,0.1,NA,4.82,NA,74.9,14.8,10.3,NA,NA,19.3,3.2,0.2,0.3,0,19.2,NA,0.9,NA,NA,NA,NA
"57","48860",0.6,NA,0.06,NA,4.72,NA,81.7,12.1,6.2,NA,NA,24,4.1,0.3,0.4,0,40.2,28.6,0.9,NA,NA,NA,NA
"58","48861",0.4,NA,0.05,NA,4.71,NA,80.5,11.1,8.4,NA,NA,25.6,4.4,0.2,0.4,0,40.2,28.6,0.9,NA,NA,NA,NA
"59","48862",0.3,NA,0.03,NA,4.46,NA,78.1,9.2,12.7,NA,NA,34.4,8.8,0.2,0.5,0,48.1,29.6,0.6,NA,NA,NA,NA
"60","48863",0.3,NA,0.04,NA,3.83,NA,83.2,8.7,8.1,NA,NA,40.3,16.2,0.4,0.6,0.1,48.1,29.6,0.6,NA,NA,NA,NA
"61","48865",2.1,NA,0.11,NA,4.52,NA,20.6,3.6,75.8,NA,NA,6.3,0.3,0.1,0.1,0,43.1,29.1,0.5,NA,NA,NA,NA
"62","48866",1.4,NA,0.09,NA,4.55,NA,24.2,3.1,72.7,NA,NA,5.4,0.1,0,0,0,43.1,29.1,0.5,NA,NA,NA,NA
"63","48867",0.6,NA,0.04,NA,4.61,NA,28.2,3.7,68.1,NA,NA,3.7,0,0,0,0,45.9,31.3,0.6,NA,NA,NA,NA
"64","48868",0.4,NA,0.03,NA,4.66,NA,31.3,4.8,63.9,NA,NA,3.1,0,0,0,0,45.9,31.3,0.6,NA,NA,NA,NA
"65","48869",0.4,NA,0.02,NA,4.65,NA,31.3,3.7,65,NA,NA,2.8,0,0,0.1,0,53.8,33.1,0.4,NA,NA,NA,NA
"66","48870",0.3,NA,0.01,NA,4.8,NA,32.8,8.7,58.5,NA,NA,2.3,0,0,0,0,53.8,33.1,0.4,NA,NA,NA,NA
"67","48871",0.2,NA,0.01,NA,4.85,NA,32.5,3.2,64.3,NA,NA,2.1,0,0,0,0,8.6,NA,0.3,NA,NA,NA,NA
"68","48872",0.2,NA,0.02,NA,4.94,NA,31.9,4.8,63.3,NA,NA,2.1,0,0,0,0,8.6,NA,0.3,NA,NA,NA,NA
"69","48958",0.16,0.1644,0.04841,0.00101,6.47,1.36318,8.21604,69.5,22.3,NA,"none",8.0405,7.04728,0.91008,0.28002,0.18668,NA,4.91803,0.07776,NA,NA,NA,NA
"70","48963",1.3,1.29995,0.1306,0.01822,7.2,NA,16.8631,60,23.1,NA,"none",14.66167,12.42428,1.94346,1.52701,0.11568,NA,10.75269,0.11948,NA,NA,NA,NA
"71","50354",0.03,0.03219,0.02716,0.00402,6.36,1.69458,9.46488,8.1,82.4,NA,"none",4.47279,2.56409,2.02305,0.07057,0,NA,3.30508,0.03864,NA,NA,NA,NA
"72","50359",1.66,1.65872,0.06469,0.00809,4.55,NA,2.54187,13.2,84.3,NA,"none",10.28878,0.04677,0.04677,0,0,NA,5.63187,0.39758,NA,NA,NA,NA
"73","50369",0.26,0.26006,0.04318,0.00803,5.35,NA,1.26479,45.6,53.1,NA,"none",3.72491,0.46844,0.11711,0.07027,0,NA,2.32342,0.151,NA,NA,NA,NA
"74","50389",0.032,0.41123,0.03738,0.00202,8.26,1.77795,19.473,52,28.5,3.14781,"slight",8.50536,18.07673,9.21699,0.21435,0,NA,8.47128,0.06332,NA,NA,NA,NA
"75","50404",3.14,3.13597,0.25198,0.0153,4.1,NA,17.88725,54.5,27.6,NA,"none",21.5236,1.28343,0.36669,0.11459,0.02292,NA,13.12977,0.45193,NA,NA,NA,NA
"76","50444",2.82,2.82056,0.28226,0.01523,4.96,0.99032,8.71037,32.6,58.7,NA,"none",12.15269,5.76807,0.891,0.14068,0.09379,NA,13.09942,0.17988,NA,NA,NA,NA
"77","51322",0.23,0.22979,0.03268,0.00919,7.05,1.23217,9.73906,25.8,64.5,NA,"none",20.0275,13.63824,5.19321,0.31548,0.70375,NA,9.92908,0.08868,NA,NA,NA,NA
"78","51852",1.8612,1.88768,0.21899,0.02673,6.27,1.27726,38.65617,59.8,1.5,0.23678,"very slight",27.46074,20.69315,4.72318,0.67808,0,NA,16.52422,NA,NA,NA,NA,0.14
"79","55504",0.25,0.25445,0.03664,0.02952,6.05,1.57738,16.4693,29.6,53.9,NA,"none",10.70098,4.9332,1.55176,0.32425,0.04632,NA,7.89766,0.16762,NA,NA,NA,NA
"80","56771",0.38,0.38497,0.06745,0.01349,5.44,1.54677,44.34719,45.8,9.9,NA,"none",12.75884,4.00546,1.68277,0.26071,0,NA,17.74892,0.72048,1.88543,NA,NA,NA
"81","56783",0.92,0.92311,0.11938,0.00926,6.05,1.29235,24.75352,64.5,10.7,NA,"none",13.92637,4.57664,0.70847,0.37255,0,NA,12.1088,0.548,13.5327,NA,NA,NA
"82","56801",1.33,1.3307,0.15014,0.01028,5.685,1.48738,26.46392,58.8,11.7,NA,"none",14.41444,4.99352,1.13234,0.77066,0.02334,NA,13.1714,0.5344,20.37491,NA,NA,NA
"83","56805",0.3,0.30183,0.08699,0.00524,5.875,NA,33.59938,40.5,25.9,NA,"none",22.87881,9.50663,5.08558,0.15178,0.16325,NA,18.69523,0.62271,0.50515,NA,NA,NA
"84","57286",1.0716,4.07511,0.08644,0,7.98,1.51258,21.62932,20.2,58.2,25.06557,"violent",13.20796,53.47046,2.66185,0.1868,0,NA,13.56643,0,NA,NA,NA,0.22
"85","57574",0.59,1.7864,0.09593,0.00808,7.94,1.39798,14.50834,21.8,63.7,9.99724,"strong",5.68452,44.6598,1.7447,0.24924,0.18127,NA,6.43432,0.05938,1.2017,NA,NA,0.2
"86","59127",0.0796,2.11257,0.04863,0,8.08,NA,16.3845,33.9,49.7,16.92378,"slight",9.06034,41.60818,5.7064,0.30034,0.13862,NA,9.71564,0,NA,NA,NA,NA
"87","60460",0.66,0.66184,0.09412,0.0081,4.52,1.66387,10.21668,54.3,35.5,NA,"none",7.8831,0.22463,0.15724,0.11232,0,NA,5.50351,0.16143,NA,NA,NA,NA
"88","60465",4.66,4.65907,0.18706,0.01533,5.75,0.8007,6.12394,79.2,14.7,NA,"none",15.27573,7.65795,1.42737,0.24922,0,NA,9.95851,0.2506,NA,NA,NA,NA
"89","60478",4.92,4.92107,0.22743,0.0247,4.66,0.84604,9.13024,73.3,17.6,NA,"none",19.0733,2.13278,0.77343,0.39843,0.09375,NA,13.91509,0.2535,NA,NA,NA,NA
"90","60483",1.64,1.63788,0.0549,0.01728,5.42,0.80946,7.44302,69.8,22.8,NA,"none",10.27093,3.68812,1.31234,0.24889,0.06788,NA,8.33333,0.13441,NA,NA,NA,NA
"91","60484",0.78,0.78353,0.06191,0.01421,5.56,0.94628,7.27114,70.6,22.1,NA,"none",6.8258,2.96173,1.88474,0.20194,0.1795,NA,6.05096,0.09764,NA,NA,NA,NA
"92","60488",3.04,3.04191,0.13025,0.01641,5.91,0.97087,9.28524,77.9,12.8,NA,"none",19.07895,12.69857,4.59012,0.3262,0.0699,NA,11.47059,0.20102,NA,NA,NA,NA
"93","60495",1.14,1.13501,0.07478,0.01127,5.96,1.24383,13.94672,49.9,36.2,NA,"none",14.16656,11.23273,3.62047,0.25529,0,NA,8.25083,0.1597,NA,NA,NA,NA
"94","60502",0.97,0.96928,0.05521,0.01329,5.93,1.25358,13.63031,54.3,32.1,NA,"none",11.07066,5.60026,1.43943,0.29238,0,NA,8.06142,0.23738,NA,NA,NA,NA
"95","60507",6,6.00467,0.24278,0.03086,5.64,0.89104,3.65254,68.3,28,NA,"none",21.00418,10.52708,2.22688,0.15746,0,NA,13.99711,0.27998,NA,NA,NA,NA
"96","60633",4.58,4.58323,0.21465,0.02249,4.4,1.05472,3.24619,31.2,65.6,NA,"none",16.47729,0.25058,0.15946,0.09112,0,NA,6.60981,0.14877,NA,NA,NA,NA
"97","60634",1.01,1.01047,0.10206,0.01415,4.7,1.41142,2.55213,25.9,71.5,NA,"none",5.14053,0.04424,0.04424,0.04424,0,NA,2.16509,0.14856,NA,NA,NA,NA
"98","60635",0.58,0.57746,0.06137,0.01308,5.13,1.33728,2.51903,34.8,62.7,NA,"none",2.58904,0,0.0428,0.0642,0,NA,1.67189,0.16868,NA,NA,NA,NA
"99","60636",1.66,1.66051,0.11969,0.01217,4.91,1.19735,3.79466,62.1,34.1,NA,"none",10.29692,0.18834,0.06278,0.06278,0,NA,3.71389,0.21285,NA,NA,NA,NA
"100","60663",4.09,4.09058,0.12922,0,4.56,NA,22.22374,33,44.8,NA,"none",9.12409,0.05997,0.15993,0.05997,0,NA,7.80488,0.09974,NA,NA,NA,NA
"101","60673",3.33,3.32733,0.22277,0,5.47,NA,26.10619,59.6,14.3,NA,"none",17.83685,11.33179,2.21914,0.14165,0,NA,11.49228,0.11028,NA,NA,NA,NA
"102","60686",0.6956,3.02024,0.10189,0.00202,7.6,1.58976,27.58163,43.8,28.6,19.36614,"violent",7.74513,45.78172,3.51801,0.2377,7.24996,NA,9.54505,0.06587,NA,NA,NA,NA
"103","60687",4.6984,7.54114,0.26287,0.02436,7.61,1.16528,11.05357,36.7,52.2,23.68097,"violent",17.35407,50.78613,2.31171,0.11916,0.33365,NA,11.39647,0.01925,NA,NA,NA,NA
"104","60695",6.59,9.23053,0.2667,0.02952,7.62,0.70832,16.75482,35.8,47.4,22.00061,"strong",12.46351,128.07776,1.39448,0.05726,0,NA,15.31436,0.02935,NA,NA,NA,NA
"105","60696",3.5484,6.35572,0.21589,0.03127,8,0.97233,10.70971,39.8,49.5,23.42647,"violent",7.94592,41.01118,0.49881,0.04338,0,NA,10.41667,0.02018,NA,NA,NA,NA
"106","60784",5.47,5.47203,0.26466,0,5.59,NA,8.90989,85.1,6,NA,"none",28.08719,1.03404,1.09866,0.08617,0,NA,12.31884,0.21538,NA,NA,NA,NA
"107","60860",3.1128,5.97331,0.33709,0.27459,7.6,NA,38.04714,46.9,15.1,23.81372,"violent",18.25795,60.63927,6.55081,1.57131,0.42049,NA,18.50534,0.03893,NA,NA,NA,2.69
"108","60861",1.6392,4.52797,0.16782,1.87852,7.74,NA,34.33773,50.5,15.2,24.08947,"violent",13.6361,158.13558,6.84219,0.81026,1.12536,NA,11.81142,0.03577,NA,NA,NA,3.06
"109","61345",21.98,21.98085,1.61293,0.49108,6.245,0.40892,17.4709,76.9,5.6,NA,"none",95.805,87.53992,10.30458,0,0.44752,NA,48.83721,0.70434,NA,NA,NA,NA
"110","62166",7.07,7.07277,0.28789,0.03063,5.97,NA,4.96926,35.3,59.7,NA,"none",19.67686,15.26126,2.35499,0.46176,0.09235,NA,9.97831,0.09554,NA,NA,NA,NA
"111","62185",2.58,2.58143,0.23949,0.04178,6.19,1.43127,23.11504,48.2,28.7,NA,"none",24.44065,17.47612,5.59892,0.49195,0,NA,12.47216,0.15333,17.28424,NA,NA,NA
"112","62192",2.16,2.15702,0.19637,0.00814,6.93,1.51641,23.19004,38.6,38.2,NA,"none",21.65587,16.36573,5.88612,0.39241,0.04617,NA,10.98528,0.13839,16.22851,NA,NA,NA
"113","62196",0.0704,3.22978,0.01318,0.00101,8.06,1.59811,26.38053,43.3,30.3,26.33416,"violent",12.81162,43.46735,7.56254,0.3448,0.04597,NA,9.68444,0.03078,0.93264,NA,NA,NA
"114","62917",0.2076,0.21388,0.02097,0.00419,7.2,NA,7.22455,46.9,45.9,0.0167,"none",39.32764,24.80559,15.20033,0.26414,0.24013,NA,14.78495,0.1049,NA,NA,NA,NA
"115","63995",2.3208,2.84595,0.26202,0.03314,7.84,NA,19.69274,25.2,55.1,4.41194,"very slight",20.0581,38.92395,12.50949,0.27411,0,19.01709,11.08545,0.14723,20.84752,NA,NA,0.54
"116","63997",0.1616,4.58019,0.04161,0.01624,8.42,2.03314,16.03561,40.7,43.3,36.81573,"strong",5.62073,46.46292,7.0666,0.15143,0,13.67925,5.55556,0.0565,1.27876,NA,NA,0.23
"117","64001",1.6276,2.11409,0.21274,0.01023,7.81,NA,12.3644,14,73.6,4.02172,"very slight",14.44343,18.49372,7.10159,0.17261,0,12.83582,7.69981,0.13808,31.1028,NA,NA,0.37
"118","64012",7.2952,7.53822,0.63472,0.07205,7.36,0.97397,24.17243,30.9,44.9,2.03785,"very slight",39.84108,43.3428,12.29124,0.44786,0,35.29412,20.85799,0.16389,5.62665,NA,NA,0.7
"119","64013",1.6016,2.89584,0.13893,0.00617,8.07,NA,15.28612,25.8,58.9,10.82248,"slight",14.46185,45.53524,8.87636,0.22567,0,18.44187,8.88639,0.13447,1.82148,NA,NA,0.31
"120","64019",1.9056,1.92388,0.1844,0.02254,6.31,NA,14.37536,28.1,57.5,0.11872,"none",14.43716,12.28098,3.26175,0.39536,0,11.99365,7.79037,0.14325,22.32237,NA,NA,0.28
"121","64028",2.808,2.91426,0.27785,0.12503,7.76,NA,43.22384,42.5,14.3,0.84705,"none",36.67593,38.36841,16.1266,0.90309,1.80618,42.40475,21.98068,0.16404,105.01799,NA,NA,1.39
"122","64031",0.354,3.5998,0.06959,0.11736,7.81,1.43233,29.3847,55.4,15.2,27.0476,"violent",15.25517,58.9599,11.17675,0.43579,1.71753,31.61318,14.56044,0.06353,0.66471,NA,NA,2.18
"123","64035",1.5348,1.56048,0.15816,0.03585,4.91,NA,33.15892,39.2,27.6,0.20976,"none",24.75008,13.83968,4.78464,0.73782,0,25.17606,15.1671,0.20736,39.72893,NA,NA,0.48
"124","64036",0.96,0.96104,0.1039,0.02332,6.48,NA,37.29339,40.8,21.9,NA,"none",25.68164,17.41079,5.83317,0.37705,0.02218,27.32481,15.68895,0.17546,2.78824,NA,NA,0.15
"125","64042",1.4784,1.68133,0.20533,0.02795,7.87,NA,44.00345,28.4,27.6,1.68057,"slight",38.88743,59.6411,3.19914,0.93689,1.2568,33.7495,21.07623,0.16519,8.55713,NA,NA,0.35
"126","64043",0.9608,1.60509,0.1297,0,8.14,1.20361,47.60956,28.2,24.2,5.40553,"strong",38.73253,63.32493,3.65877,0.49253,4.17475,41.30817,25.03226,0.12916,6.66895,NA,NA,0.41
"127","64051",1.9132,2.10902,0.22307,0.02241,8.04,NA,35.00517,54.1,10.9,1.63993,"very slight",35.74003,46.06925,2.03381,2.49085,3.01644,34.98015,19.0604,0.16081,18.81681,NA,NA,0.5
"128","64053",0.606,2.10144,0.09188,0.0173,8.85,1.17782,30.56498,51.5,17.9,12.44699,"violent",38.32342,54.95229,2.56444,1.35091,11.72316,38.88105,23.22206,0.11657,2.48627,NA,NA,0.76
"129","65102",1.1,NA,0.11,NA,6.74,NA,14.6,13.7,71.7,NA,NA,5.4,3.6,1.7,0.1,0,26.5,20.9,NA,NA,NA,NA,NA
"130","65103",0.9,NA,0.09,NA,5.66,NA,17,11,72,NA,NA,5.1,2.6,0.9,0,0,26.5,20.9,NA,NA,NA,NA,NA
"131","65104",0.6,NA,0.09,NA,5.92,NA,26.5,9.9,63.6,NA,NA,4.7,2.3,0.5,0,0,31.4,18.4,NA,NA,NA,NA,NA
"132","65105",0.5,NA,0.07,NA,5.74,NA,38.1,9.4,52.5,NA,NA,4.9,2.2,0.5,0,0,31.4,18.4,NA,NA,NA,NA,NA
"133","65106",0.4,NA,0.08,NA,5.58,NA,52.6,8,39.4,NA,NA,5.2,1.7,0.5,0,0,NA,16.5,NA,NA,NA,NA,NA
"134","65107",0.4,NA,0.07,NA,5.55,NA,54.1,8.5,37.4,NA,NA,5.2,1.6,0.6,0,0,NA,16.5,NA,NA,NA,NA,NA
"135","65108",0.3,NA,0.05,NA,5.82,NA,55.4,9.2,35.4,NA,NA,5.1,1.4,0.9,0,0,35.4,19,0.5,NA,NA,NA,NA
"136","65109",0.2,NA,0.06,NA,5.98,NA,57.1,9.7,33.2,NA,NA,5.3,1.3,1.2,0,0,35.4,19,0.5,NA,NA,NA,NA
"137","65110",0.2,NA,0.05,NA,5.28,NA,57.1,9.1,33.8,NA,NA,5.1,1.1,1.2,0,0,34.8,24.5,0.8,NA,NA,NA,NA
"138","65111",0.2,NA,0.05,NA,5.25,NA,57,9.4,33.6,NA,NA,5,1.1,0.9,0,0,34.8,24.5,0.8,NA,NA,NA,NA
"139","65112",0.1,NA,0.06,NA,5.22,NA,57.4,10.2,32.4,NA,NA,5.2,1.1,0.4,0,0,31.4,7.1,NA,NA,NA,NA,NA
"140","65113",0.9,NA,0.06,NA,6.44,NA,11.8,14.4,73.8,NA,NA,4.5,3.1,0.9,0.3,0,31.4,7.1,NA,NA,NA,NA,NA
"141","65114",0.6,NA,0.09,NA,7.01,NA,33,11.7,55.3,0,NA,7.1,5.5,1.5,0.1,0,NA,4.9,NA,NA,NA,NA,NA
